ID	DOCULECT	CONCEPT	FORM	TOKENS	ATTESTED	ANCESTOR	RELATION	PROCESS	COGID	ROOT	STEM	ALIGNMENT	WORD_CLASS	INFLECTION_CLASS	CASE	GENDER	QUESTIONMARK	SQUAREBRACKET	UNSURE	NOTES
16	Vedic	Zuteiler	ví-bhaktar-	w ˈi bʱ ɐ k t ɐ ɾ	0	14	prefixation	prefix: w ˈi	0	bʰag	1		substantive			masculine				
17	Vedic	Zuteiler	víbhaktā	w ˈi bʱ ɐ k t aː	1	16	inflection	n.sg.	0	bʰag	0	w ˈi bʱ ɐ k t aː	substantive		n.sg.	masculine				
18	Indo-European	?	bʰag-tér-	bʱ a ɢ t ˈɛ ɾ	0	1	suffixation	suffix: t ˈɛ ɾ	0	bʰag	1					masculine				
19	Indo-European	?	bʰagtḗr	bʱ a ɢ t ˈɛː ɾ	0	18	inflection	n.sg.	4	bʰag	0	bʱ a ɢ t ˈɛː ɾ			n.sg.	masculine				
20	Vedic	?	-bhaktár-	bʱ ɐ k t ˈɐ ɾ	0	18	inheritance	inheritance	0	bʰag	1					masculine				
21	Vedic	?	bhaktā́	bʱ ɐ k t ˈaː	0	20	inflection	n.sg.	4	bʰag	0	bʱ ɐ k t ˈaː -			n.sg.	masculine				
22	Vedic	Zuteiler	vi-bhaktár-	w i bʱ ɐ k t ˈɐ ɾ	0	20	prefixation	prefix: w i	0	bʰag	1		substantive			masculine				
23	Vedic	Zuteiler	vibhaktā́	w i bʱ ɐ k t ˈaː	1	22	inflection	n.sg.	0	bʰag	0	w i bʱ ɐ k t ˈaː	substantive		n.sg.	masculine				
24	Indo-European	?	bʰag-ti-	bʱ a ɢ t i	0	1	suffixation	suffix: t i	0	bʰag	1		substantive			feminine				
25	Indo-European	?	bʰagtis	bʱ a ɢ t i s	0	24	inflection	n.sg.	5	bʰag	0	bʱ a ɢ t i s	substantive		n.sg.	feminine				
26	Vedic	Zuteilung, Verteilung	bhaktí-	bʱ ɐ k t ˈi	0	24	inheritance	inheritance	0	bʰag	1		substantive			feminine				
27	Vedic	Zuteilung, Verteilung	bhaktíḥ	bʱ ɐ k t ˈi h	1	26	inflection	n.sg.	5	bʰag	0	bʱ ɐ k t ˈi h	substantive		n.sg.	feminine				
28	Indo-European	?	bʰág-o-	bʱ ˈa ɢ ɔ	0	1	suffixation	suffix: ɔ	0	bʰag	1		substantive			masculine				
29	Indo-European	?	bʰágos	bʱ ˈa ɢ ɔ s	0	28	inflection	n.sg.	6	bʰag	0	bʱ ˈa ɢ ɔ s	substantive		n.sg.	masculine				
30	Vedic	Zuteiler, Zuteilung	bhága-	bʱ ˈɐ g ɐ	0	28	inheritance	inheritance	0	bʰag	1		substantive			masculine				
31	Vedic	Zuteiler, Zuteilung	bhágaḥ	bʱ ˈɐ g ɐ h	1	30	inflection	n.sg.	6	bʰag	0	bʱ ˈɐ g ɐ h	substantive		n.sg.	masculine				
32	Indo-European	?	bʰāg-ó-	bʱ aː ɢ ˈɔ	0	28	derivation	vriddhi - lengthened grade and accent shift	0	bʰag	1		substantive			masculine	?		?	
33	Indo-European	?	bʰāgós	bʱ aː ɢ ˈɔ s	0	32	inflection	n.sg.	7	bʰag	0	bʱ aː ɢ ˈɔ s	substantive		n.sg.	masculine	?		?	
34	Vedic	Anteil	bhāgá-	bʱ aː g ˈɐ	0	32	inheritance	inheritance	0	bʰag	1		substantive			masculine				
35	Vedic	Anteil	bhāgáḥ	bʱ aː g ˈɐ h	1	34	inflection	n.sg.	7	bʰag	0	bʱ aː g ˈɐ h	substantive		n.sg.	masculine				
36	Indo-European	?	bʰag-ó-	bʱ a ɢ ˈɔ	0	1	suffixation	suffix: ˈɔ	0	bʰag	1									
37	Indo-European	?	bʰagós	bʱ a ɢ ˈɔ s	0	36	inflection	n.sg.	8	bʰag	0	bʱ a ɢ ˈɔ s			n.sg.					
38	Greek	?	-φάγο-	pʰ ˈa g ɔ	0	36	inheritance	inheritance	0	bʰag	1									
39	Greek	?	-φάγος	pʰ ˈa g ɔ s	0	38	inflection	n.sg.	8	bʰag	0	pʰ ˈa g ɔ s			n.sg.					
40	Greek	rohes [Fleisch] essend	ὠμο-φάγο-	ɔː m ɔ pʰ ˈa g ɔ	0	38	compound	compound2 with 0 ɔː m ɔ	0	bʰag	1		adjective							
41	Greek	rohes [Fleisch] essend	ὠμοφάγος	ɔː m ɔ pʰ ˈa g ɔ s	1	40	inflection	n.sg.masculine	0	bʰag	0	ɔː m ɔ pʰ ˈa g ɔ s	adjective		n.sg.	masculine				
42	Indo-European	?	bʰag-tó-	bʱ a ɢ t ˈɔ	0	1	suffixation	suffix: t ˈɔ	0	bʰag	1		adjective							
43	Indo-European	?	bʰagtós	bʱ a ɢ t ˈɔ s	0	42	inflection	n.sg.masculine	9	bʰag	0	bʱ a ɢ t ˈɔ s	adjective		n.sg.	masculine				
44	Vedic	empfangen, erhalten, geschenkt	bhaktá-	bʱ ɐ k t ˈɐ	0	42	inheritance	inheritance	0	bʰag	1		adjective							
45	Vedic	empfangen, erhalten, geschenkt	bhaktáḥ	bʱ ɐ k t ˈɐ h	1	44	inflection	n.sg.	9	bʰag	0	bʱ ɐ k t ˈɐ h	adjective		n.sg.	masculine				
46	Indo-European	Buche	bʰah₂g-	bʱ a χ ɢ	0				0	bʰah₂g-(ó-)	1		root				?		?	
47	Indo-European	?	bʰah₂g-	bʱ a χ ɢ	0	46	derivation	root noun	0	bʰah₂g-(ó-)	1		substantive			feminine	?		?	
48	Indo-European	?	bʰah₂gs	bʱ a χ ɢ s	0	47	inflection	n.sg.	10	bʰah₂g-(ó-)	0	bʱ - a χ ɢ s	substantive		n.sg.	feminine	?		?	
49	Germanic	Buchstabe, Buch	bōk-	β ɔː k	0	47	inheritance	inheritance	0	bʰah₂g-(ó-)	1		substantive			feminine				
50	Germanic	Buchstabe, Buch	bōks	β ɔː k s	0	49	inflection	n.sg.	10	bʰah₂g-(ó-)	0	β - ɔː - k s	substantive		n.sg.	feminine				
51	Old High German	Buch, Schriftstück	buoh-	b u o x	0	49	inheritance	inheritance	0	bʰah₂g-(ó-)	1		substantive			feminine				
52	Old High German	Buch, Schriftstück	buoh	b u o x	1	51	inflection	n.sg.	10	bʰah₂g-(ó-)	0	b u o - x -	substantive		n.sg.	feminine				
53	Old High German	Buchstabe	buoh-stab-	b u o x s̺ t a b	0	51	compound	compound with 0 s̺ t a b	0	bʰah₂g-(ó-)	1		substantive			masculine				
54	Old High German	Buchstabe	buoh-stab	b u o x s̺ t a b	1	53	inflection	n.sg.	0	bʰah₂g-(ó-)	0	b u o x s̺ t a b	substantive		n.sg.	masculine				
55	Indo-European	?	bʰah₂g-ó-	bʱ a χ ɢ ˈɔ	0	47	suffixation	suffix: ˈɔ	0	bʰah₂g-(ó-)	1		substantive			feminine				
56	Indo-European	?	bʰah₂gós	bʱ a χ ɢ ˈɔ s	0	55	inflection	n.sg.	11	bʰah₂g-(ó-)	0	bʱ a χ ɢ ˈɔ s	substantive		n.sg.	feminine				
57	Greek	Eiche	φηγό-	pʰ ɛː g ˈɔ	0	55	inheritance	inheritance	0	bʰah₂g-(ó-)	1		substantive			feminine				
58	Greek	Eiche	φηγός	pʰ ɛː g ˈɔ s	1	57	inflection	n.sg.	11	bʰah₂g-(ó-)	0	pʰ ɛː - g ˈɔ s	substantive		n.sg.	feminine				
59	Latin	Buche	fāgo-	f aː g ɔ	0	55	inheritance	inheritance	0	bʰah₂g-(ó-)	1		substantive	o		feminine				
60	Latin	Buche	fāgus	f aː g ʊ s	1	59	inflection	n.sg.	11	bʰah₂g-(ó-)	0	f aː - g ʊ s	substantive	o	n.sg.	feminine				
61	Germanic	?	bōka-	β ɔː k a	0	55	inheritance	inheritance	0	bʰah₂g-(ó-)	1		substantive			feminine		[	[	
62	Germanic	?	bōkaz	β ɔː k a z	0	61	inflection	n.sg.	11	bʰah₂g-(ó-)	0	β ɔː - k a z	substantive		n.sg.	feminine		[	[	
63	Germanic	?	bōkō-	β ɔː k ɔː	0	61	derivation	inflection class change	0	bʰah₂g-(ó-)	1		substantive	ō		feminine		[	[	
64	Germanic	?	bōkō	β ɔː k ɔː	0	63	inflection	n.sg.	12	bʰah₂g-(ó-)	0	β - ɔː k ɔː	substantive	ō	n.sg.	feminine		[	[	
65	Old High German	Buche	buocha-	b u o xː a	0	63	inheritance	inheritance	0	bʰah₂g-(ó-)	1		substantive	ō		feminine		[	[	
66	Old High German	Buche	buocha	b u o xː a	0	65	inflection	n.sg.	12	bʰah₂g-(ó-)	0	b u o xː a	substantive	ō	n.sg.	feminine		[	[	
67	Old High German	Buche	buochan-	b u o xː a n	0	65	derivation	inflection class change	0	bʰah₂g-(ó-)	1		substantive	ōn		feminine		[	[	
68	Old High German	Buche	buocha	b u o xː a	1	67	inflection	n.sg.	0	bʰah₂g-(ó-)	0	b u o xː a	substantive	ōn	n.sg.	feminine		[	[	
69	Indo-European	?	bʰarsdʰ-o-	bʱ a ɾ s dʱ ɔ	0	71	derivation	infixation of s, suffix: ɔ	0	bʰar(s)dʰ-o/ah₂-	1		substantive			masculine				
70	Indo-European	?	bʰarsdʰos	bʱ a ɾ s dʱ ɔ s	0	69	inflection	n.sg.	0	bʰar(s)dʰ-o/ah₂-	0	bʱ a ɾ s dʱ ɔ s	substantive		n.sg.	masculine				
71	Indo-European	Bart	bʰardʰ	bʱ a ɾ dʱ	0				0	bʰar(s)dʰ-o/ah₂-	1		root							
72	Indo-European	?	bʰardʰ-o-	bʱ a ɾ dʱ ɔ	0	71	suffixation	suffix: ɔ	0	bʰar(s)dʰ-o/ah₂-	1		substantive			masculine				
73	Indo-European	?	bʰardʰos	bʱ a ɾ dʱ ɔ s	0	72	inflection	n.sg.	13	bʰar(s)dʰ-o/ah₂-	0	bʱ a ɾ dʱ ɔ s	substantive		n.sg.	masculine				
74	Germanic	?	barda-	β a r ð a	0	72	inheritance	inheritance	0	bʰar(s)dʰ-o/ah₂-	1		substantive			masculine				
75	Germanic	?	bardaz	β a r ð a z	0	74	inflection	n.sg.	13	bʰar(s)dʰ-o/ah₂-	0	β a r ð a z	substantive		n.sg.	masculine				
76	Old High German	Bart	bart-	b a r t	0	74	inheritance	inheritance	0	bʰar(s)dʰ-o/ah₂-	1		substantive			masculine				
77	Old High German	Bart	bart	b a r t	1	76	inflection	n.sg.	13	bʰar(s)dʰ-o/ah₂-	0	b a r t - -	substantive		n.sg.	masculine				
78	Indo-European	?	bʰardʰ-ah₂-	bʱ a ɾ dʱ a χ	0	71	suffixation	suffix: a χ	0	bʰar(s)dʰ-o/ah₂-	1		substantive			feminine				
79	Indo-European	?	bʰardʰah₂	bʱ a ɾ dʱ a χ	0	78	inflection	n.sg.	14	bʰar(s)dʰ-o/ah₂-	0	bʱ a ɾ dʱ a χ	substantive		n.sg.	feminine				
80	Latin	Bart	barba-	b a ɾ b a	0	78	inheritance	inheritance	0	bʰar(s)dʰ-o/ah₂-	1		substantive			feminine				
81	Latin	Bart	barba	b a ɾ b a	1	80	inflection	n.sg.	14	bʰar(s)dʰ-o/ah₂-	0	b a ɾ b a -	substantive		n.sg.	feminine				
82	Indo-European	?	bʰardʰ-ah₂-to-	bʱ a ɾ dʱ a χ t ɔ	0	78	suffixation	suffix: t ɔ	0	bʰar(s)dʰ-o/ah₂-	1		adjective							
83	Indo-European	?	bʰardʰah₂tos	bʱ a ɾ dʱ a χ t ɔ s	0	82	inflection	n.sg.masculine	15	bʰar(s)dʰ-o/ah₂-	0	bʱ a ɾ dʱ a χ t ɔ s	adjective		n.sg.	masculine				
84	Latin	bärtig	barbāto-	b a ɾ b aː t ɔ	0	82	inheritance	inheritance	0	bʰar(s)dʰ-o/ah₂-	1		adjective							
85	Latin	bärtig	barbātus	b a ɾ b aː t ʊ s	1	84	inflection	n.sg.masculine	15	bʰar(s)dʰ-o/ah₂-	0	b a ɾ b aː - t ʊ s	adjective		n.sg.	masculine				
86	Indo-European	brechen	bʰeg-	bʱ ɛ ɢ	0				0	bʰeg	1		root							
87	Indo-European	?	-bʰog-ó-	bʱ ɔ ɢ ˈɔ	0	86	derivation	o-grade, suffix: ˈɔ	0	bʰeg	1		adjective				?		?	
88	Indo-European	?	bʰogós	bʱ ɔ ɢ ˈɔ s	0	87	inflection	n.sg.masculine	16	bʰeg	0	bʱ ɔ ɢ ˈɔ s	adjective		n.sg.	masculine	?		?	
89	Vedic	brechend, sprengend	bhagá-	bʱ ɐ g ˈɐ	0	87	inheritance	inheritance	0	bʰeg	1		adjective					[	[	
90	Vedic	brechend, sprengend	bhagáḥ	bʱ ɐ g ˈɐ h	0	89	inflection	n.sg.masculine	16	bʰeg	0	bʱ ɐ g ˈɐ h	adjective		n.sg.	masculine		[	[	
91	Vedic	brechend, sprengend	bhaṅgá-	bʱ ɐ ŋ g ˈɐ	0	89	analogy	analogy: 0 bʱ ɐ ŋ dʓ	0	bʰeg	1		adjective					[	[	
92	Vedic	brechend, sprengend	bhaṅgáḥ	bʱ ɐ ŋ g ˈɐ h	1	91	inflection	n.sg.masculine	0	bʰeg	0	bʱ ɐ ŋ g ˈɐ h	adjective		n.sg.	masculine		[	[	
93	Vedic	Zerbrecher	pra-bhaṅgá-	p ɾ ɐ bʱ ɐ ŋ g ˈɐ	0	91	prefixation	prefix: p ɾ ɐ	0	bʰeg	1		substantive			masculine		[	[	
94	Vedic	Zerbrecher	prabhaṅgáḥ	p ɾ ɐ bʱ ɐ ŋ g ˈɐ h	1	93	inflection	n.sg.	0	bʰeg	0	p ɾ ɐ bʱ ɐ ŋ g ˈɐ h	substantive		n.sg.	masculine		[	[	
95	Indo-European	?	bʰeg-nó-	bʱ ɛ ɢ n ˈɔ	0	86	suffixation	suffix: n ˈɔ	0	bʰeg	1		adjective							
96	Indo-European	?	bʰegnós	bʱ ɛ ɢ n ˈɔ s	0	95	inflection	n.sg.masculine	17	bʰeg	0	bʱ ɛ ɢ n ˈɔ s	adjective		n.sg.	masculine				
97	Vedic	gebrochen	bhagna-	bʱ ɐ g n ɐ	0	95	inheritance	inheritance	0	bʰeg	1		adjective							
98	Vedic	gebrochen	bhagnaḥ	bʱ ɐ g n ɐ h	1	97	inflection	n.sg.masculine	17	bʰeg	0	bʱ ɐ g n ɐ h	adjective		n.sg.	masculine				
99	Indo-European	glänzen, leuchten, scheinen	bʰeh₂-	bʱ a χ	0				0	bʰeh₂	1		root							
100	Indo-European	?	bʰáh₂-	bʱ ˈa χ	0	99	derivation	root noun	0	bʰeh₂	1		substantive			feminine				
101	Indo-European	?	bʰáh₂s	bʱ ˈa χ s	0	100	inflection	n.sg.	18	bʰeh₂	0	bʱ ˈa χ s	substantive		n.sg.	feminine				
102	Vedic	Schein, Licht	bhā́-	bʱ ˈaː	0	100	inheritance	inheritance	0	bʰeh₂	1		substantive			feminine				
103	Vedic	Schein, Licht	bhā́	bʱ ˈaː	1	102	inflection	n.sg.	18	bʰeh₂	0	bʱ ˈaː - -	substantive		n.sg.	feminine				
104	Vedic	?	bhā́-tvakṣas-	bʱ ˈaː t w ɐ k ʂ ɐ s	0	102	compound	compound with 0 t w ˈɐ k ʂ ɐ s	0	bʰeh₂	1		adjective							
105	Vedic	?	bhā́-tvakṣaḥ	bʱ ˈaː t w ɐ k ʂ ɐ h	1	104	inflection	n.sg.masculine	0	bʰeh₂	0	bʱ ˈaː t w ɐ k ʂ ɐ h	adjective		n.sg.	masculine				
106	Vedic	strahlend	vi-bhā́-	w i bʱ ˈaː	0	102	prefixation	prefix: w i	0	bʰeh₂	1		adjective							
107	Vedic	strahlend	vi-bhā́	w i bʱ ˈaː	1	106	inflection	n.sg.masculine	0	bʰeh₂	0	w i bʱ ˈaː	adjective		n.sg.	masculine				
108	Germanic	?	-bō-	β ɔː	0	100	inheritance	inheritance	0	bʰeh₂	1									
109	Germanic	?	-bōs	β ɔː s	0	108	inflection	n.sg.	18	bʰeh₂	0	β ɔː - s			n.sg.	masculine				
110	Germanic	?	-bō	β ɔː	0	108	inflection	i.sg.	0	bʰeh₂	0	β ɔː			i.sg.	masculine				
111	Germanic	?	-bōi	β ɔː i	0	108	inflection	d.sg.	0	bʰeh₂	0	β ɔː i			d.sg.	masculine				corrected from -bhāi
112	Indo-European	?	-bʰh₂-o-	bʱ χ ɔ	0	99	derivation	zero-grade, suffix: ɔ	0	bʰeh₂	1									
113	Indo-European	?	bʰh₂os	bʱ χ ɔ s	0	112	inflection	n.sg.	19	bʰeh₂	0	bʱ χ ɔ s			n.sg.					
114	Old Indic	?	bha-	bʱ ɐ	0	112	inheritance	inheritance	0	bʰeh₂	1									
115	Old Indic	?	bhaḥ	bʱ ɐ h	0	114	inflection	n.sg.	19	bʰeh₂	0	bʱ - ɐ h			n.sg.					
116	Old Indic	ähnlich, gleich	nibha-	n i bʱ ɐ	0	114	prefixation	prefix: n i	0	bʰeh₂	1		adjective							
117	Old Indic	ähnlich, gleich	nibhaḥ	n i bʱ ɐ h	1	116	inflection	n.sg.masculine	0	bʰeh₂	0	n i bʱ ɐ h	adjective		n.sg.	masculine				
118	Indo-European	?	bʰoh₂-t-	bʱ ɔ χ t	0	99	derivation	o-grade, suffix: t	0	bʰeh₂	1		substantive			masculine				
119	Indo-European	?	bʰoh₂ts	bʱ ɔ χ t s	0	118	inflection	n.sg.	20	bʰeh₂	0	bʱ ɔ χ t s	substantive		n.sg.	masculine				
120	Greek	Mann	φῶτ-	pʰ ˈɔː t	0	118	inheritance	inheritance	0	bʰeh₂	1		substantive			masculine				
121	Greek	Mann	φῶς	pʰ ˈɔː s	1	120	inflection	n.sg.	20	bʰeh₂	0	pʰ ˈɔː - - s	substantive		n.sg.	masculine				
122	Indo-European	?	bʰoh₂-t-ih₂-	bʱ ɔ χ t i χ	0	118	suffixation	suffix: i χ	0	bʰeh₂	1									
123	Indo-European	?	bʰoh₂tih₂	bʱ ɔ χ t i χ	0	122	inflection	n.sg.	21	bʰeh₂	0	bʱ ɔ χ t i χ			n.sg.					
124	Greek	?	φαττα-	pʰ a tː a	0	122	inheritance	inheritance	0	bʰeh₂	1									
125	Greek	?	φαττα	pʰ a tː a	0	124	inflection	n.sg.	21	bʰeh₂	0	pʰ a - tː a -			n.sg.					
126	Greek	Persephone	Φερρέφαττα-	pʰ ɛ rː ˈɛ pʰ a tː a	0	124	compound	compound2 with 0 pʰ ɛ rː ˈɛ	0	bʰeh₂	1		substantive			feminine				
127	Greek	Persephone	Φερρέφαττα	pʰ ɛ rː ˈɛ pʰ a tː a	1	126	inflection	n.sg.	0	bʰeh₂	0	pʰ ɛ rː ˈɛ pʰ a tː a	substantive		n.sg.	feminine				
128	Attic	?	φαττα-	pʰ a tː a	0	122	inheritance	inheritance	0	bʰeh₂	1									
129	Attic	?	φαττα	pʰ a tː a	0	128	inflection	n.sg.	21	bʰeh₂	0	pʰ a - tː a -			n.sg.					
130	Attic	Persephone	Φερρέφαττα-	pʰ ɛ rː ˈɛ pʰ a tː a	0	128	compound	compound2 with 0 pʰ ɛ rː ˈɛ	0	bʰeh₂	1		substantive			feminine				
131	Attic	Persephone	Φερρέφαττα	pʰ ɛ rː ˈɛ pʰ a tː a	1	130	inflection	n.sg.	0	bʰeh₂	0	pʰ ɛ rː ˈɛ pʰ a tː a	substantive		n.sg.	feminine				
132	Indo-European	?	bʰh₂-ti-	bʱ χ t i	0	99	derivation	zero-grade, suffix: t i	0	bʰeh₂	1		substantive			feminine	?		?	
133	Indo-European	?	bʰh₂tis	bʱ χ t i s	0	132	inflection	n.sg.	22	bʰeh₂	0	bʱ χ t i s	substantive		n.sg.	feminine	?		?	
134	Greek	Anzeige, Erscheinung	φάσι-	pʰ ˈa s ɪ	0	132	inheritance	inheritance	0	bʰeh₂	1		substantive			feminine				
135	Greek	Anzeige, Erscheinung	φάσις	pʰ ˈa s ɪ s	1	134	inflection	n.sg.	22	bʰeh₂	0	pʰ ˈa s ɪ s	substantive		n.sg.	feminine				
136	Greek	(scheinbarer) Grund, Vorwand	πρόφασι-	p ɾ ˈɔ pʰ a s ɪ	0	134	prefixation	prefix: p ɾ ˈɔ	0	bʰeh₂	1		substantive			feminine				
137	Greek	(scheinbarer) Grund, Vorwand	πρόφασις	p ɾ ˈɔ pʰ a s ɪ s	1	136	inflection	n.sg.	0	bʰeh₂	0	p ɾ ˈɔ pʰ a s ɪ s	substantive		n.sg.	feminine				
138	Indo-European	?	bʰáh₂-ti-	bʱ ˈa χ t i	0	99	suffixation	suffix: t i	0	bʰeh₂	1		substantive			feminine				
139	Indo-European	?	bʰáh₂tis	bʱ ˈa χ t i s	0	138	inflection	n.sg.	23	bʰeh₂	0	bʱ ˈa χ t i s	substantive		n.sg.	feminine				
140	Old Indic	Glanz, Licht, Erkenntnis	bhāti-	bʱ aː t i	0	138	inheritance	inheritance	0	bʰeh₂	1		substantive			feminine				
141	Old Indic	Glanz, Licht, Erkenntnis	bhātiḥ	bʱ aː t i h	1	140	inflection	n.sg.	23	bʰeh₂	0	bʱ aː - t i h	substantive		n.sg.	feminine				
142	Indo-European	?	bʰah₂-nú-	bʱ a χ n ˈu	0	99	suffixation	suffix: n ˈu	0	bʰeh₂	1		substantive			masculine				
143	Indo-European	?	bʰah₂nús	bʱ a χ n ˈu s	0	142	inflection	n.sg.	24	bʰeh₂	0	bʱ a χ n ˈu s	substantive		n.sg.	masculine				
144	Vedic	Licht, Strahl, Erscheinung, Glanz	bhānú-	bʱ aː n ˈu	0	142	inheritance	inheritance	0	bʰeh₂	1		substantive			masculine				
145	Vedic	Licht, Strahl, Erscheinung, Glanz	bhānúḥ	bʱ aː n ˈu h	1	144	inflection	n.sg.	24	bʰeh₂	0	bʱ aː - n ˈu h	substantive		n.sg.	masculine				
146	Indo-European	?	bʰah₂-es-	bʱ a χ ɛ s	0	99	suffixation	suffix: ɛ s	0	bʰeh₂	1		substantive			neuter				
147	Indo-European	?	bʰah₂-es	bʱ a χ ɛ s	0	146	inflection	n.sg.	25	bʰeh₂	0	bʱ a χ ɛ s	substantive		n.sg.	neuter				
148	Vedic	Licht, Strahl	bhā́s-	bʱ ˈaː s	0	146	inheritance	inheritance	0	bʰeh₂	1		substantive			neuter				
149	Vedic	Licht, Strahl	bhā́ḥ	bʱ ˈaː h	1	148	inflection	n.sg.	25	bʰeh₂	0	bʱ ˈaː h - -	substantive		n.sg.	neuter				
150	Latin	?	bar-	b a ɾ	0	146	inheritance	inheritance	0	bʰeh₂	1									
151	Latin	?	bar	b a ɾ	0	150	inflection	n.sg.	25	bʰeh₂	0	b a ɾ - -			n.sg.					
152	Latin	erstes Tageslicht, Morgenstern	iūbar-	j uː b a ɾ	0	150	compound	compound2 with 0 j uː	0	bʰeh₂	1		substantive			neuter				
153	Latin	erstes Tageslicht, Morgenstern	iūbar	j uː b a ɾ	1	152	inflection	n.sg.	0	bʰeh₂	0	j uː b a ɾ	substantive		n.sg.	neuter				
154	Indo-European	?	bʰah₂-lo-	bʱ a χ l ɔ	0	99	suffixation	suffix: l ɔ	0	bʰeh₂	1		substantive			neuter				
155	Indo-European	?	bʰah₂los	bʱ a χ l ɔ s	0	154	inflection	n.sg.	26	bʰeh₂	0	bʱ a χ l ɔ s	substantive		n.sg.	neuter				
156	Old Indic	Stirn, Glanz	bhāla-	bʱ aː l ɐ	0	154	inheritance	inheritance	0	bʰeh₂	1		substantive			neuter	?		?	
157	Old Indic	Stirn, Glanz	bhālaḥ	bʱ aː l ɐ h	1	156	inflection	n.sg.	26	bʰeh₂	0	bʱ aː - l ɐ h	substantive		n.sg.	neuter	?		?	
158	Indo-European	?	bʰah₂-mo-	bʱ a χ m ɔ	0	99	suffixation	suffix: m ɔ	0	bʰeh₂	1		substantive			masculine				
159	Indo-European	?	bʰah₂mos	bʱ a χ m ɔ s	0	158	inflection	n.sg.	27	bʰeh₂	0	bʱ a χ m ɔ s	substantive		n.sg.	masculine				
160	Vedic	Licht, Glanz, Grimm, Wut, Zorn	bhā́ma-	bʱ ˈaː m ɐ	0	158	inheritance	inheritance	0	bʰeh₂	1		substantive			masculine				
161	Vedic	Licht, Glanz, Grimm, Wut, Zorn	bhā́maḥ	bʱ ˈaː m ɐ h	1	160	inflection	n.sg.	27	bʰeh₂	0	bʱ ˈaː - m ɐ h	substantive		n.sg.	masculine				
162	Indo-European	?	bʰah₂-no-	bʱ a χ n ɔ	0	99	suffixation	suffix: n ɔ	0	bʰeh₂	1		substantive			neuter				
163	Indo-European	?	bʰah₂nom	bʱ a χ n ɔ m	0	162	inflection	n.sg.	28	bʰeh₂	0	bʱ a χ n ɔ m	substantive		n.sg.	neuter				
164	Indo-European	?	bʰoh₂-no-	bʱ ɔ χ n ɔ	0	99	derivation	o-grade, suffix: n ɔ	0	bʰeh₂	1		substantive			neuter				
165	Indo-European	?	bʰoh₂nom	bʱ ɔ χ n ɔ m	0	164	inflection	n.sg.	28	bʰeh₂	0	bʱ ɔ χ n ɔ m	substantive		n.sg.	neuter				
166	Old Indic	das Leuchten, Erscheinung	bhā́na-	bʱ ˈaː n ɐ	0	164	inheritance	inheritance	0	bʰeh₂	1		substantive			neuter				
